imdb_id,title,year
tt0484500,My Scene Goes Hollywood: The Movie,2005
tt0118577,An Alan Smithee Film: Burn Hollywood Burn,1997
tt0271527,The Gnomes' Great Adventure,1987
tt0091767,Playing for Keeps,1986
tt2140507,The Current War,2017
tt1987680,The Upside,2017
tt0491203,Tulip Fever,2017
tt1935897,Amityville: The Awakening,2017
tt2932536,47 Meters Down,2017
tt6133034,TIME: The Kalief Browder StoryPart 2 - The IslandPart 1 - The System,2017
tt5362988,Wind River,2017
tt1800302,Gold,2016
tt4276820,The Founder,2016
tt3741834,Lion,2016
tt1655461,Wild Oats,2016
tt2597892,Viral,2016
tt1781827,Hands of Stone,2016
tt2652118,"Crouching Tiger, Hidden Dragon: Sword of Destiny",2016
tt3544112,Sing Street,2016
tt2140037,Jane Got a Gun,2015
tt3460252,The Hateful Eight,2015
tt2503944,Burnt,2015
tt3319920,Regression,2015
tt1798684,Southpaw,2015
tt2884018,Macbeth,2015
tt2402927,Carol,2015
tt1841642,Demonic,2015
tt2404425,Woman in Gold,2015
tt3205394,Roald Dahl's Esio Trot,2015
tt2346480,Jennifer Lopez: Dance Again,2014
tt1109624,Paddington,2014
tt1126590,Big Eyes,2014
tt1780798,Clown,2014
tt0900387,Suite Française,2014
tt0458481,Sin City: A Dame to Kill For,2014
tt0435651,The Giver,2014
tt1686821,Vampire Academy,2014
tt1322269,August: Osage County,2013
tt1196956,One Chance,2013
tt2463512,Hateship Loveship,2013
tt2304771,Mandela: Long Walk to Freedom,2013
tt1327773,The Butler,2013
tt1634003,Underdogs,2013
tt0485061,U Want Me 2 Kill Him?,2013
tt0795461,Scary Movie 5,2013
tt2387433,Dark Skies,2013
tt0765446,Escape from Planet Earth,2013
tt2388637,Ain't Them Bodies Saints,2013
tt2334649,Fruitvale Station,2013
tt2578448,12-12-12: The Concert for Sandy Relief,2012
tt1853728,Django Unchained,2012
tt2095605,Seal Team Six: The Raid on Osama Bin Laden,2012
tt1047011,Unfinished Song,2012
tt1780762,Aftershock,2012
tt1045658,Silver Linings Playbook,2012
tt1673697,The Sapphires,2012
tt1714203,Piranha 3DD,2012
tt1655420,My Week with Marilyn,2011
tt1742650,I Don't Know How She Does It,2011
tt1349451,Butter,2011
tt1772240,Apollo 18,2011
tt1536048,W.E.,2011
tt1517489,Spy Kids: All the Time in the World in 4D,2011
tt0844993,Hoodwinked Too! Hood vs. Evil,2011
tt1262416,Scream 4,2011
tt0964517,The Fighter,2010
tt1175709,All Good Things,2010
tt1107319,Dirty Girl,2010
tt1504320,The King's Speech,2010
tt0464154,Piranha 3D,2010
tt1092634,Shanghai,2010
tt1323598,Hey Watch This,2010
tt1172998,Hurricane Season,2009
tt0875034,Nine,2009
tt1266029,Nowhere Boy,2009
tt1210071,The Janky Promoters,2009
tt0403702,Youth in Revolt,2009
tt1232207,Capitalism: A Love Story,2009
tt1311067,Halloween II,2009
tt0361748,Inglourious Basterds,2009
tt0924129,Crossing Over,2009
tt1104836,Feast III: The Happy Finish,2009
tt0489049,Fanboys,2009
tt0976051,The Reader,2008
tt0839930,The Nutty Professor,2008
tt1323946,Pulse 3,2008
tt0443559,Killshot,2008
tt1111948,Soul Men,2008
tt0892391,The Meerkats,2008
tt1038072,Pulse 2: Afterlife,2008
tt1104835,Feast II: Sloppy Seconds,2008
tt1007028,Zack and Miri Make a Porno,2008
tt1091751,The Longshots,2008
tt0426592,Superhero Movie,2008
tt0803057,The Promotion,2008
tt1086797,Unstable Fables: 3 Pigs & a Baby,2008
tt0462499,Rambo,2008
tt0411475,Hell Ride,2008
tt0427309,The Great Debaters,2007
tt0211933,Awake,2007
tt0884328,The Mist,2007
tt0479528,Rogue,2007
tt0850669,Slacker Uprising,2007
tt0373883,Halloween,2007
tt0489237,The Nanny Diaries,2007
tt0785077,Who's Your Caddy?,2007
tt1077258,Planet Terror,2007
tt0450385,1408,2007
tt1028528,Death Proof,2007
tt0386032,Sicko,2007
tt0462396,The Last Legion,2007
tt0462322,Grindhouse,2007
tt0432402,Factory Girl,2006
tt0482546,Miss Potter,2006
tt0462519,School for Scoundrels,2006
tt0443456,Breaking and Entering,2006
tt0454919,Pulse,2006
tt0424345,Clerks II,2006
tt0362120,Scary Movie 4,2006
tt0398017,Derailed,2005
tt0422037,Curandero,2005
tt0426459,Feast,2005
tt0428251,Venom,2005
tt0439771,The Prophecy: Forsaken,2005
tt0377107,Proof,2005
tt0373416,Underclassman,2005
tt0355295,The Brothers Grimm,2005
tt0350261,An Unfinished Life,2005
tt0326905,The Great Raid,2005
tt0303929,Dracula III: Legacy,2005
tt0424774,The Adventures of Sharkboy and Lavagirl 3-D,2005
tt0401792,Sin City,2005
tt0257516,Cursed,2005
tt0338751,The Aviator,2004
tt0387925,Chestnut: Hero of Central Park,2004
tt0358135,Shall We Dance,2004
tt0308644,Finding Neverland,2004
tt0361596,Fahrenheit 9/11,2004
tt0380615,Paper Clips,2004
tt0327679,Ella Enchanted,2004
tt0378194,Kill Bill: Vol. 2,2004
tt0325596,The I Inside,2004
tt0297284,Mindhunters,2004
tt0300051,Jersey Girl,2004
tt0159365,Cold Mountain,2003
tt0167260,The Lord of the Rings: The Return of the King,2003
tt0307987,Bad Santa,2003
tt0311113,Master and Commander: The Far Side of the World,2003
tt0306047,Scary Movie 3,2003
tt0266697,Kill Bill: Vol. 1,2003
tt0266489,Duplex,2003
tt0308383,The Human Stain,2003
tt0270980,My Boss's Daughter,2003
tt0338459,Spy Kids 3: Game Over,2003
tt0352426,Ice Bound,2003
tt0270288,Confessions of a Dangerous Mind,2002
tt0299658,Chicago,2002
tt0217505,Gangs of New York,2002
tt0238380,Equilibrium,2002
tt0167261,The Lord of the Rings: The Two Towers,2002
tt0219400,Waking Up in Reno,2002
tt0276816,Below,2002
tt0273517,Darkness,2002
tt0287717,Spy Kids 2: Island of Lost Dreams,2002
tt0290212,Full Frontal,2002
tt0220506,Halloween: Resurrection,2002
tt0246677,Heaven,2002
tt0308672,Only the Strong Survive,2002
tt0120824,The Shipping News,2001
tt0280778,Iris,2001
tt0035423,Kate & Leopold,2001
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001
tt0160399,Impostor,2001
tt0261392,Jay and Silent Bob Strike Back,2001
tt0286098,Zu Warriors,2001
tt0230600,The Others,2001
tt0239641,Mimic 2,2001
tt0257106,Scary Movie 2,2001
tt0166158,Daddy and Them,2001
tt0193560,Texas Rangers,2001
tt0227538,Spy Kids,2001
tt0219653,Dracula 2000,2000
tt0241303,Chocolat,2000
tt0186894,Bounce,2000
tt0213847,Malèna,2000
tt0229440,Hellraiser: Inferno,2000
tt0259207,Backstage,2000
tt0144964,Highlander: Endgame,2000
tt0175142,Scary Movie,2000
tt0204175,Boys and Girls,2000
tt0138946,The Yards,2000
tt0183678,The Prophecy 3: The Ascent,2000
tt0184858,Reindeer Games,2000
tt0182295,Love's Labour's Lost,2000
tt0134084,Scream 3,2000
tt0159784,Takedown,2000
tt0199314,About Adam,2000
tt0132910,The Crow: Salvation,2000
tt0144142,Committed,2000
tt0186975,Down to You,2000
tt0124315,The Cider House Rules,1999
tt0166943,Music of the Heart,1999
tt0144715,Holy Smoke,1999
tt0178737,Mansfield Park,1999
tt0160401,In Too Deep,1999
tt0125971,Outside Providence,1999
tt0133046,Teaching Mrs. Tingle,1999
tt0120899,My Life So Far,1999
tt0160862,She's All That,1999
tt0160338,Guinevere,1999
tt0145734,Playing by Heart,1998
tt0138097,Shakespeare in Love,1998
tt0133751,The Faculty,1998
tt0120594,B. Monkey,1998
tt0120271,Talk of Angels,1998
tt0147004,Little Voice,1998
tt0120697,Heaven,1998
tt0128442,Rounders,1998
tt0120577,54,1998
tt0120694,Halloween H20: 20 Years Later,1998
tt0120879,Velvet Goldmine,1998
tt0119670,The Mighty,1998
tt0120135,Since You've Been Gone,1998
tt0120707,Ride,1998
tt0120510,Wide Awake,1998
tt0120820,Senseless,1998
tt0119891,Phantoms,1998
tt0120793,A Price Above Rubies,1998
tt0118643,The Prophecy II,1998
tt0120523,Wishful Thinking,1997
tt0120082,Scream 2,1997
tt0119396,Jackie Brown,1997
tt0119217,Good Will Hunting,1997
tt0120520,The Wings of the Dove,1997
tt0118887,Cop Land,1997
tt0118570,Air Bud,1997
tt0119698,Princess Mononoke,1997
tt0117496,Robinson Crusoe,1997
tt0119675,Mimic,1997
tt0120112,She's So Lovely,1997
tt0118556,Addicted to Love,1997
tt0119791,Nightwatch,1997
tt0117571,Scream,1996
tt0117695,I'm Crazy About Iris Blond,1996
tt0114846,Victory,1996
tt0116833,The Last of the High Kings,1996
tt0116209,The English Patient,1996
tt0115986,The Crow: City of Angels,1996
tt0116592,"I Love You, I Love You Not",1996
tt0116191,Emma,1996
tt0117283,The Pallbearer,1996
tt0116324,Flirting with Disaster,1996
tt0115639,Beautiful Girls,1996
tt0116684,Jane Eyre,1996
tt0114272,Restoration,1995
tt0113490,The Journey of August King,1995
tt0113849,A Month by the Lake,1995
tt0112744,The Crossing Guard,1995
tt0112966,The Englishman Who Went Up a Hill But Came Down a Mountain,1995
tt0114660,Things to Do in Denver When You're Dead,1995
tt0112541,Blue in the Face,1995
tt0114478,Smoke,1995
tt0110907,Ready to Wear,1994
tt0110912,Pulp Fiction,1994
tt0110999,The Road Killers,1994
tt0107606,Mother's Boys,1993
tt0107146,The Advocate,1993
tt0108399,True Romance,1993
tt0107685,The Night We Never Met,1993
tt0106386,Benefit of the Doubt,1993
tt0104522,Into the West,1992
tt0104155,Dust Devil,1992
tt0104812,Map of the Human Heart,1992
tt0102691,The Pope Must Diet,1991
tt0102749,A Rage in Harlem,1991
tt0099136,Crossing the Line,1990
tt0099740,Hardware,1990
tt0100708,Strike It Rich,1990
tt0100003,The Lemon Sisters,1989
tt0098260,Scandal,1989
tt0084648,The Secret Policeman's Other Ball,1982
tt0082118,The Burning,1981
